openmonkey_source,cub_target,mse
14,1,-0.08767520999999999
14,2,-0.05026564000000001
14,3,-0.07579008999999999
14,4,-0.05550736
14,5,-0.034225
14,6,-0.04227136
14,7,-0.08608356
14,8,-0.16362025000000002
14,9,-0.14814801000000002
14,10,-0.032076810000000004
14,11,-0.12567024999999998
14,12,-0.15429183999999999
14,13,-0.11675889
14,14,-0.12773476
14,15,-0.03568321000000001
12,1,-0.08667136
12,2,-0.04981824000000001
12,3,-0.07551503999999999
12,4,-0.05550736
12,5,-0.03463321
12,6,-0.04260096
12,7,-0.08071281000000001
12,8,-0.16281225000000002
12,9,-0.13905441000000002
12,10,-0.03243601
12,11,-0.11799225000000002
12,12,-0.15421329
12,13,-0.11458225000000001
12,14,-0.12446784
12,15,-0.035758809999999995
0,1,-0.08726116
0,2,-0.03568321000000001
0,3,-0.07518564
0,4,-0.049773609999999996
0,5,-0.026634240000000003
0,6,-0.03111696
0,7,-0.08116801
0,8,-0.15832440999999997
0,9,-0.12996025
0,10,-0.029138489999999996
0,11,-0.10413528999999999
0,12,-0.15249025000000002
0,13,-0.0961
0,14,-0.12124324
0,15,-0.025664040000000003
9,1,-0.08702499999999999
9,2,-0.04986289
9,3,-0.07513081
9,4,-0.056074240000000004
9,5,-0.03389281
9,6,-0.04247721
9,7,-0.08625969000000001
9,8,-0.16597476
9,9,-0.14318656000000002
9,10,-0.03150625
9,11,-0.12397441000000002
9,12,-0.16088121
9,13,-0.11792355999999998
9,14,-0.12852224999999998
9,15,-0.035419240000000005
1,1,-0.08958049000000001
1,2,-0.0361
1,3,-0.07284600999999999
1,4,-0.04999696
1,5,-0.026797690000000002
1,6,-0.030800249999999998
1,7,-0.08191044
1,8,-0.16370116
1,9,-0.12845056
1,10,-0.02893401
1,11,-0.10771523999999999
1,12,-0.15382084
1,13,-0.10246401
1,14,-0.12124324
1,15,-0.02634129
2,1,-0.08838729000000001
2,2,-0.03861225
2,3,-0.07546009
2,4,-0.050805159999999995
2,5,-0.028459689999999996
2,6,-0.03308761
2,7,-0.08156736
2,8,-0.16875663999999999
2,9,-0.13046544000000002
2,10,-0.02989441
2,11,-0.10751841000000002
2,12,-0.15452761
2,13,-0.10310521
2,14,-0.12201049
2,15,-0.027788889999999997
3,1,-0.08767520999999999
3,2,-0.03667225
3,3,-0.07546009
3,4,-0.05031049
3,5,-0.027456489999999997
3,6,-0.03286968999999999
3,7,-0.08168164
3,8,-0.16088121
3,9,-0.12680721000000003
3,10,-0.029652839999999996
3,11,-0.10536516
3,12,-0.15374241
3,13,-0.09903609
3,14,-0.11930115999999999
3,15,-0.02742336
4,1,-0.08755681
4,2,-0.04141225
4,3,-0.07431076
4,4,-0.051710759999999995
4,5,-0.028459689999999996
4,6,-0.034969
4,7,-0.08520561
4,8,-0.16064064
4,9,-0.13816088999999998
4,10,-0.029412250000000004
4,11,-0.11410883999999999
4,12,-0.15689521
4,13,-0.10575504
4,14,-0.12306064
4,15,-0.02910436
5,1,-0.08444836000000001
5,2,-0.042890410000000004
5,3,-0.07711729
5,4,-0.05230368999999999
5,5,-0.02910436
5,6,-0.036557440000000004
5,7,-0.08334769
5,8,-0.16605625
5,9,-0.14025025
5,10,-0.029480889999999996
5,11,-0.11703241000000002
5,12,-0.15888196000000002
5,13,-0.10903204
5,14,-0.12292036000000002
5,15,-0.02996361
6,1,-0.08590761000000001
6,2,-0.049328409999999996
6,3,-0.07706176
6,4,-0.055695999999999996
6,5,-0.03294225
6,6,-0.041697639999999994
6,7,-0.08248384
6,8,-0.16184529
6,9,-0.14190288999999998
6,10,-0.03147076
6,11,-0.12348195999999999
6,12,-0.15976009
6,13,-0.11703241000000002
6,14,-0.12916836
6,15,-0.03485689
7,1,-0.08838729000000001
7,2,-0.05008644
7,3,-0.07683984
7,4,-0.056074240000000004
7,5,-0.034744960000000005
7,6,-0.04330561
7,7,-0.08497224999999999
7,8,-0.15888196000000002
7,9,-0.14417208999999997
7,10,-0.03319684
7,11,-0.12020089
7,12,-0.15610401000000002
7,13,-0.11710084
7,14,-0.12752040999999997
7,15,-0.03621409
8,1,-0.08785296
8,2,-0.04239481
8,3,-0.07557000999999999
8,4,-0.05193841
8,5,-0.028696359999999997
8,6,-0.036062010000000005
8,7,-0.08696601
8,8,-0.16581184000000002
8,9,-0.14676561
8,10,-0.028866009999999998
8,11,-0.11799225000000002
8,12,-0.15124321000000002
8,13,-0.11175648999999999
8,14,-0.12638025
8,15,-0.030032890000000003
10,1,-0.08690704
10,2,-0.050445159999999996
10,3,-0.07612080999999998
10,4,-0.056074240000000004
10,5,-0.03463321
10,6,-0.04264224999999999
10,7,-0.08590761000000001
10,8,-0.15768841
10,9,-0.14546596
10,10,-0.032761
10,11,-0.12439729000000001
10,12,-0.14945956
10,13,-0.11682724
10,14,-0.12630916
10,15,-0.0361
11,1,-0.08826840999999999
11,2,-0.050940490000000005
11,3,-0.07672900000000002
11,4,-0.05612161
11,5,-0.03508129
11,6,-0.043347239999999995
11,7,-0.08116801
11,8,-0.15936064
11,9,-0.13845840999999998
11,10,-0.032148489999999995
11,11,-0.11888704
11,12,-0.15896169
11,13,-0.11492100000000001
11,14,-0.12496224999999998
11,15,-0.03659569
13,1,-0.08814961
13,2,-0.05076009
13,3,-0.07551503999999999
13,4,-0.05635876
13,5,-0.03530641
13,6,-0.043388890000000006
13,7,-0.08031556
13,8,-0.15944049
13,9,-0.13461561
13,10,-0.032761
13,11,-0.11764900000000002
13,12,-0.15578809
13,13,-0.11594025000000002
13,14,-0.12075624999999998
13,15,-0.03697929
15,1,-0.08749764
15,2,-0.05071504
15,3,-0.07601049
15,4,-0.056074240000000004
15,5,-0.03519376
15,6,-0.04330561
15,7,-0.08116801
15,8,-0.15618304
15,9,-0.13808656
15,10,-0.03268864
15,11,-0.12215024999999999
15,12,-0.15303744
15,13,-0.11323225000000002
15,14,-0.12327121000000002
15,15,-0.036481
16,1,-0.08726116
16,2,-0.049328409999999996
16,3,-0.07568001
16,4,-0.05560164000000001
16,5,-0.03568321000000001
16,6,-0.04305625
16,7,-0.08003241
16,8,-0.15194403999999997
16,9,-0.12709225
16,10,-0.03308761
16,11,-0.11377129
16,12,-0.15194403999999997
16,13,-0.10569001
16,14,-0.11492100000000001
16,15,-0.03583449
